Characters,Meaning,Pronunciation
沧桑,great changes; ups and downs; vicissitudes; abbr. of 滄海桑田|沧海桑田[cang1 hai3 sang1 tian2],cāngsāng
随处,everywhere; anywhere,suíchù
伤残,disabled; maimed; crippled; (of objects) damaged,shāngcán
荒凉,desolate,huāngliáng
棒子,stick; club; cudgel; maize (corn); ear of maize; corncob; (derog.) Korean,bàngzi
车位,parking spot; unloading point; garage place; stand for taxi,chēwèi
原装,genuine; intact in original packaging (not locally assembled and packaged),yuánzhuāng
欠条,IOU; certificate of indebtedness,qiàntiáo
杨树,poplar tree; various trees of genus Populus,yángshù
委婉,tactful; euphemistic; (of voice etc) suave; soft,wěiwǎn
形形色色,all kinds of; all sorts of; every (different) kind of,xíngxíngsèsè
旱灾,drought,hànzāi
少林寺,"Shaolin Temple, Buddhist monastery famous for its kung fu monks",shàolínsì
名利,fame and profit,mínglì
沙尘,airborne sand and dust,shāchén
奢望,an extravagant hope; to have excessive expectations,shēwàng
岸上,ashore; on the riverbank,ànshàng
家喻户晓,understood by everyone (idiom); well known; a household name,jiāyùhùxiǎo
腐化,to rot; to decay; to become corrupt,fǔhuà
方方面面,all sides; all aspects; multi-faceted,fāngfāngmiànmiàn
清洁工,cleaner; janitor; garbage collector,qīngjiégōng
废品,production rejects; seconds; scrap; discarded material,fèipǐn
费劲,to require effort; strenuous,fèijìn
胆怯,timidity; timid; cowardly,dǎnqiè
接二连三,one after another (idiom); in quick succession,jiēèrliánsān
凄凉,mournful; miserable,qīliáng
话筒,microphone; (telephone) receiver; handset,huàtǒng
养老院,nursing home,yǎnglǎoyuàn
一不小心,N/A,N/A
酿造,"to brew; to make (wine, vinegar, soybean paste etc) by fermentation",niàngzào
心胸,heart; mind; ambition; aspiration,xīnxiōng
欢快,cheerful and lighthearted; lively,huānkuài
不同寻常,N/A,N/A
过奖,to overpraise; to flatter,guòjiǎng
拍戏,to shoot a movie,pāixì
猎犬,hound; hunting dog,lièquǎn
时差,time difference; time lag; jet lag,shíchā
好家伙,my God!; oh boy!; man!,hǎojiāhuo
吸管,(drinking) straw; pipette; eyedropper; snorkel,xīguǎn
看管,to look after,kānguǎn
成家,to settle down and get married (of a man); to become a recognized expert,chéngjiā
元宵节,"Lantern Festival, the final event of the Spring Festival 春節|春节, on 15th of first month of the lunar calendar",yuánxiāojié
耐性,patience; endurance,nàixìng
犹豫不决,hesitancy; indecision; to waver,yóuyùbùjué
彩电,color TV,cǎidiàn
骨气,unyielding character; courageous spirit; integrity; moral backbone,gǔqì
摆平,to be fair; to be impartial; to settle (a matter etc),bǎipíng
忌讳,taboo; to avoid as taboo; to abstain from,jìhuì
针锋相对,to oppose each other with equal harshness (idiom); tit for tat; measure for measure,zhēnfēngxiāngduì
振作,to bestir oneself; to pull oneself together; to cheer up; to uplift; to stimulate,zhènzuò
成才,to make sth of oneself; to become a person who is worthy of respect,chéngcái
远近,far and near; distance,yuǎnjìn
安逸,easy and comfortable; easy,ānyì
辫子,plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle,biànzi
朦胧,hazy,ménglóng
不起眼,unremarkable; nothing out of the ordinary,bùqǐyǎn
确凿,definite; conclusive; undeniable; authentic; also pr. [que4 zuo4],quèzáo
自相矛盾,to contradict oneself; self-contradictory; inconsistent,zìxiāngmáodùn
橡皮,rubber; an eraser,xiàngpí
占卜,to divine,zhānbǔ
兴高采烈,happy and excited (idiom); in high spirits; in great delight,xìnggāocǎiliè
彻夜,the whole night,chèyè
定金,down payment; advance payment,dìngjīn
风浪,wind and waves; stormy sea,fēnglàng
消沉,depressed; bad mood; low spirit,xiāochén
喧哗,hubbub; clamor; to make a racket,xuānhuá
哲理,philosophic theory; philosophy,zhélǐ
奔腾,Pentium (microprocessor by Intel),bēnténg
品行,behavior; moral conduct,pǐnxíng
写照,portrayal,xiězhào
接听,to answer the phone,jiētīng
一刹那,N/A,N/A
天平,scales (to weigh things),tiānpíng
苗条,(of a woman) slim; slender; graceful,miáotiao
伯母,wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother),bómǔ
惦记,to think of; to keep thinking about; to be concerned about,diànjì
漏水,to leak (of water),lòushuǐ
切身,direct; concerning oneself; personal,qièshēn
临街,facing the street,línjiē
不值,not worth,bùzhí
无忧无虑,carefree and without worries (idiom),wúyōuwúlǜ
不得而知,unknown; unable to find out,bùdéérzhī
本分,(to play) one's part; one's role; one's duty; (to stay within) one's bounds; dutiful; keeping to one's role,běnfèn
招手,to wave; to beckon,zhāoshǒu
倾销,"to dump (goods, products)",qīngxiāo
缺氧,lacking oxygen; anaerobic,quēyǎng
密不可分,inextricably linked (idiom); inseparable,mìbùkěfēn
私事,personal matters,sīshì
振荡,vibration; oscillation,zhèndàng
谜语,riddle; conundrum,míyǔ
小气,stingy; miserly; narrow-minded; petty,xiǎoqì
忙活,to be really busy; pressing business,mánghuo
专程,specifically; specially (for that purpose),zhuānchéng
季军,third in a race; bronze medalist,jìjūn
底蕴,inside information; concrete details,dǐyùn
算盘,abacus; plan; scheme,suànpán
避暑,to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke,bìshǔ
划船,to row a boat; rowing boat; rowing (sport),huáchuán
措手不及,no time to deal with it (idiom); caught unprepared,cuòshǒubùjí
直奔,to go straight to; to make a beeline for,zhíbèn
入场券,admission ticket,rùchǎngquàn
皮球,"ball (made of rubber, leather etc)",píqiú
冗长,long and tedious; redundant; superfluous; supernumerary; verbose (of writing),rǒngcháng
挂号,to register (at a hospital etc); to send by registered mail,guàhào
魄力,courage; daring; boldness; resolution; drive,pòlì
俘获,to capture (enemy property or personnel); capture (physics: absorption of subatomic particle by an atom or nucleus),fúhuò
自理,to take care of oneself; to provide for oneself,zìlǐ
大体上,overall; in general terms,dàtǐshàng
罢休,to give up; to abandon (a goal etc); to let sth go; forget it; let the matter drop,bàxiū
尼龙,nylon (loanword),nílóng
性价比,cost-performance ratio,xìngjiàbǐ
水龙头,faucet; tap,shuǐlóngtóu
发火,to catch fire; to ignite; to detonate; to get angry,fāhuǒ
屹立,to tower; to stand straight (of person's bearing),yìlì
嫦娥,"Chang'e, the lady in the moon (Chinese mythology); one of the Chang'e series of PRC lunar spacecraft",chángé
爪子,(animal's) claw,zhuǎzi
从今以后,N/A,N/A
撒娇,to act like a spoiled child; to throw a tantrum; to act coquettishly,sājiāo
插嘴,to interrupt (sb talking); to butt in; to cut into a conversation,chāzuǐ
没劲,to have no strength; to feel weak; exhausted; feeling listless; boring; of no interest,méijìn
脱口而出,to blurt out; to let slip (an indiscreet remark),tuōkǒuérchū
酒鬼,drunkard,jiǔguǐ
爱惜,to cherish; to treasure; to use sparingly,àixī
中庸,"the Doctrine of the Mean, one of the Four Books 四書|四书[Si4 shu1]",zhōngyōng
念念不忘,to keep in mind constantly (idiom),niànniànbùwàng
妨害,to impair; damaging; harmful; a nuisance,fánghài
括号,parentheses; brackets,kuòhào
下棋,to play chess,xiàqí
期末,end of term,qīmò
心里话,(to express one's) true feelings; what is on one's mind; secret mind,xīnlihuà
秘方,secret recipe,mìfāng
生命线,lifeline,shēngmìngxiàn
大提琴,cello; violoncello,dàtíqín
风沙,sand blown by wind; sandstorm,fēngshā
文娱,cultural recreation; entertainment,wényú
中秋节,the Mid-Autumn Festival on 15th of 8th lunar month,zhōngqiūjié
跟前,the front (of); (in) front; (in) sb's presence; just before (a date),gēnqián
劳累,tired; exhausted; worn out; to toil,láolèi
恍然大悟,to suddenly realize; to suddenly see the light,huǎngrándàwù
有奖,N/A,N/A
挂失,to report the loss of something,guàshī
公益性,N/A,N/A
起劲,vigorously; energetically; enthusiastically,qǐjìn
茫然,blankly; vacantly; at a loss,mángrán
翻天覆地,sky and the earth turning upside down (idiom); fig. complete confusion; everything turned on its head,fāntiānfùdì
灰心,to lose heart; to be discouraged,huīxīn
挂念,concerned,guàniàn
波折,twists and turns,bōzhé
自由自在,free and easy (idiom); carefree; leisurely,zìyóuzìzài
献血,to donate blood,xiànxuè
周旋,to mix with others; to socialize; to deal with; to contend,zhōuxuán
物证,material evidence,wùzhèng
年迈,old; aged,niánmài
胃癌,stomach cancer,wèiái
一事无成,to have achieved nothing; to be a total failure; to get nowhere,yīshìwúchéng
滑冰,to skate; skating,huábīng
触觉,touch; sense of touch; tactile,chùjué
无可厚非,see 未可厚非[wei4 ke3 hou4 fei1],wúkěhòufēi
气魄,spirit; boldness; positive outlook; imposing attitude,qìpò
慌张,confused; flustered,huāngzhāng
齐心协力,to work with a common purpose (idiom); to make concerted efforts; to pull together; to work as one,qíxīnxiélì
龙舟,dragon boat; imperial boat,lóngzhōu
内分泌,"endocrine (internal secretion, e.g. hormone)",nèifēnmì
庄重,grave; solemn; dignified,zhuāngzhòng
芬芳,perfume; fragrant,fēnfāng
鞋带,shoelace,xiédài
前列腺,prostate,qiánlièxiàn
美满,happy; blissful,měimǎn
走投无路,to be at an impasse (idiom); in a tight spot; at the end of one's rope; desperate,zǒutóuwúlù
充电器,battery charger,chōngdiànqì
揣测,to guess; to conjecture,chuǎicè
眼圈,rim of the eye; eye socket,yǎnquān
备课,(of a teacher) to prepare lessons,bèikè
平常心,levelheadedness; calmness; equanimity,píngchángxīn
软实力,soft power (in international relations),ruǎnshílì
书架,bookshelf,shūjià
春运,(increased) passenger transportation around Chinese New Year,chūnyùn
颓废,decadent; dispirited; depressed; dejected,tuífèi
根治,to bring under permanent control; to effect a radical cure,gēnzhì
沉闷,oppressive (of weather); heavy; depressed; not happy; (of sound) dull; muffled,chénmèn
得天独厚,blessed by heaven (idiom); enjoying exceptional advantages; favored by nature,détiāndúhòu
赶不上,can't keep up with; can't catch up with; cannot overtake,gǎnbùshàng
油腻,grease; greasy food; oily; rich (of food); fatty; greasy and dirty; a slippery character,yóunì
转眼,in a flash; in the blink of an eye; to glance,zhuǎnyǎn
成问题,N/A,N/A
一心一意,concentrating one's thoughts and efforts; single-minded; bent on; intently,yīxīnyīyì
出息,"to yield interest, profit etc; to exhale (Buddhism)",chūxī
商贩,trader; peddler,shāngfàn
恰到好处,it's just perfect; it's just right,qiàdàohǎochù
贮藏,to store up; to hoard; deposits,zhùcáng
文具,"stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)",wénjù
把柄,handle; (fig.) information that can be used against sb,bǎbǐng
敬礼,to salute; salute,jìnglǐ
威风,might; awe-inspiring authority; impressive,wēifēng
凶恶,fierce; ferocious; fiendish; frightening,xiōngè
吃力,to entail strenuous effort; to toil at a task; strenuous; laborious; strain,chīlì
重合,to match up; to coincide,chónghé
清淡,"light (of food, not greasy or strongly flavored); insipid; slack (sales)",qīngdàn
冬眠,hibernation,dōngmián
车速,vehicle speed,chēsù
难处,trouble; difficulty; problem,nánchu
庙会,temple fair,miàohuì
涌动,N/A,N/A
辛辣,spicy hot (taste); fig. biting (criticism),xīnlà
果树,fruit tree,guǒshù
浇水,to water (plants etc),jiāoshuǐ
冷门,"a neglected branch (of arts, science, sports etc); fig. a complete unknown who wins a competition",lěngmén
好学,eager to study; studious; erudite,hàoxué
停车位,N/A,N/A
盖子,cover; lid; shell,gàizi
扫墓,to sweep a grave (and pay one's respects to the dead person),sǎomù
蔗糖,cane sugar; sucrose,zhètáng
炉子,stove; oven; furnace,lúzi
含蓄,"to contain; to hold; (of a person or style etc) reserved; restrained; (of words, writings) full of hidden meaning; implicit; veiled (criticism)",hánxù
标致,Peugeot,biāozhì
偶遇,a chance encounter; to meet accidentally,ǒuyù
书桌,desk,shūzhuō
转学,to change schools; to transfer to another college,zhuǎnxué
热水器,water heater,rèshuǐqì
别看,N/A,N/A
毛笔,writing brush,máobǐ
放水,to turn on the water; to let water out; to throw a game (sports),fàngshuǐ
凌乱,messy; disarrayed; disheveled; chaos,língluàn
感染力,inspiration; infectious (enthusiasm),gǎnrǎnlì
公事,work-related matters; documents,gōngshì
透支,(bank) overdraft,tòuzhī
豆浆,soy milk,dòujiāng
凳子,stool; small seat,dèngzi
焦躁,fretful; impatient,jiāozào
雄伟,grand; imposing; magnificent; majestic,xióngwěi
不了了之,to settle a matter by leaving it unsettled; to end up with nothing definite,bùliǎoliǎozhī
签到,to register; to sign in,qiāndào
队形,formation,duìxíng
招揽,to attract (customers); to drum up (trade),zhāolǎn
帐子,mosquito net,zhàngzi
输家,N/A,N/A
扣子,button,kòuzi
礼拜天,Sunday,lǐbàitiān
遂心,to one's liking,suìxīn
凉鞋,sandal,liángxié
笼统,general; broad; sweeping; lacking in detail; vague,lǒngtǒng
字迹,handwriting,zìjì
止血,to staunch (bleeding); hemostatic (drug),zhǐxuè
水产品,N/A,N/A
守候,to wait for; to expect; to keep watch; to watch over; to nurse,shǒuhòu
寿险,life insurance; abbr. for 人壽保險|人寿保险,shòuxiǎn
口才,eloquence,kǒucái
难说,N/A,N/A
诉苦,to grumble; to complain; grievance,sùkǔ
单边,unilateral,dānbiān
成交量,N/A,N/A
洋溢,brimming with; steeped in,yángyì
红枣,jujube; red date,hóngzǎo
合情合理,reasonable and fair (idiom),héqínghélǐ
安眠药,sleeping pill,ānmiányào
无可奈何,have no way out; have no alternative; abbr. to 無奈|无奈[wu2 nai4],wúkěnàihé
卖弄,to show off; to make a display of,màinong
恰恰相反,N/A,N/A
防汛,flood control; anti-flood (precautions),fángxùn
别致,unusual; unique,biézhì
划时代,epoch-marking,huàshídài
松树,pine; pine tree,sōngshù
起跑线,the starting line (of a race); scratch line (in a relay race),qǐpǎoxiàn
谋害,to conspire to murder; to plot against sb's life,móuhài
顺心,happy; satisfactory,shùnxīn
送别,to farewell,sòngbié
口香糖,chewing gum,kǒuxiāngtáng
黑猩猩,common chimpanzee,hēixīngxing
待会儿,in a moment; later; also pr. [dai1 hui3 r5] or [dai1 hui5 r5],dāihuìr
